#3aa1f0
#40a1f1
#46a0f3
#4ba0f4
#519ff5
#569ff6
#5b9ef7
#619ef8
#669df9
#6b9dfa
#709cfb
#759bfb
#7b9bfc
#809afc
#8599fd
#8a98fd
#8f97fd
#9496fd
#9995fd
#9d94fd
#a293fc
#a792fc
#ac91fb
#b190fb
#b58ffa
#ba8ef9
#bf8cf8
#c38bf7
#c88af6
#cc89f5
#d087f3
#d586f2
#d984f0
#dd83ee
#e182ed
#e580eb
#e97fe9
#ed7de7
#f17ce4
#f57ae2
